src/app/admin/analytics/page.tsx(40,33): error TS7006: Parameter 'd' implicitly has an 'any' type.
src/app/admin/analytics/page.tsx(47,32): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/app/admin/analytics/page.tsx(54,35): error TS7006: Parameter 's' implicitly has an 'any' type.
src/application/address/address.container.ts(5,42): error TS2307: Cannot find module '@/infrastructure/database/repositories/address.repository' or its corresponding type declarations.
src/application/address/use-cases/address.use-cases.ts(5,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/address.repository.interface' or its corresponding type declarations.
src/application/cart/cart.container.ts(5,39): error TS2307: Cannot find module '@/infrastructure/database/repositories/cart.repository' or its corresponding type declarations.
src/application/cart/use-cases/add-to-cart.use-case.ts(8,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/cart/use-cases/add-to-cart.use-case.ts(9,32): error TS2307: Cannot find module '@/domain/entities/cart-item.entity' or its corresponding type declarations.
src/application/cart/use-cases/clear-cart.use-case.ts(7,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/cart/use-cases/get-cart.use-case.ts(7,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/cart/use-cases/get-cart.use-case.ts(35,49): error TS7006: Parameter 'item' implicitly has an 'any' type.
src/application/cart/use-cases/remove-cart-item.use-case.ts(7,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/cart/use-cases/update-cart-item.use-case.ts(7,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/categories/category.container.ts(7,43): error TS2307: Cannot find module '@/infrastructure/database/repositories/category.repository' or its corresponding type declarations.
src/application/categories/use-cases/create-category.use-case.ts(1,32): error TS2307: Cannot find module '@/domain/entities/category.entity' or its corresponding type declarations.
src/application/categories/use-cases/create-category.use-case.ts(2,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/category.repository.interface' or its corresponding type declarations.
src/application/categories/use-cases/create-category.use-case.ts(3,30): error TS2307: Cannot find module '@/domain/value-objects/category-slug.value-object' or its corresponding type declarations.
src/application/categories/use-cases/delete-category.use-case.ts(1,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/category.repository.interface' or its corresponding type declarations.
src/application/categories/use-cases/delete-category.use-case.ts(2,43): error TS2307: Cannot find module '@/domain/exceptions/category-not-found.exception' or its corresponding type declarations.
src/application/categories/use-cases/list-categories.use-case.ts(1,32): error TS2307: Cannot find module '@/domain/entities/category.entity' or its corresponding type declarations.
src/application/categories/use-cases/list-categories.use-case.ts(2,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/category.repository.interface' or its corresponding type declarations.
src/application/categories/use-cases/list-categories.use-case.ts(45,42): error TS7006: Parameter 'category' implicitly has an 'any' type.
src/application/categories/use-cases/update-category.use-case.ts(8,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/category.repository.interface' or its corresponding type declarations.
src/application/categories/use-cases/update-category.use-case.ts(9,32): error TS2307: Cannot find module '@/domain/entities/category.entity' or its corresponding type declarations.
src/application/categories/use-cases/update-category.use-case.ts(10,43): error TS2307: Cannot find module '@/domain/exceptions/category-not-found.exception' or its corresponding type declarations.
src/application/checkout/checkout.container.ts(8,40): error TS2307: Cannot find module '@/infrastructure/database/repositories/order.repository' or its corresponding type declarations.
src/application/checkout/checkout.container.ts(9,39): error TS2307: Cannot find module '@/infrastructure/database/repositories/cart.repository' or its corresponding type declarations.
src/application/checkout/use-cases/create-checkout-session.use-case.ts(8,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/checkout/use-cases/create-checkout-session.use-case.ts(58,33): error TS7006: Parameter 'item' implicitly has an 'any' type.
src/application/checkout/use-cases/create-order.use-case.ts(1,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/application/checkout/use-cases/create-order.use-case.ts(2,42): error TS2307: Cannot find module '@/domain/interfaces/repositories/order.repository.interface' or its corresponding type declarations.
src/application/checkout/use-cases/create-order.use-case.ts(7,8): error TS2307: Cannot find module '@/domain/entities/order.entity' or its corresponding type declarations.
src/application/checkout/use-cases/create-order.use-case.ts(32,47): error TS7006: Parameter 'item' implicitly has an 'any' type.
